7,8,9,10,20170101,8
2,8,9,10,20160801,6
14,8,9,10,20160801,11
16,8,9,10,20170201,7
16,8,9,10,20150801,5
9,8,9,10,20170401,15
4,8,9,10,20150701,10
6,8,9,10,20160101,13
4,8,9,10,20150801,15
10,8,9,10,20150101,13
2,8,9,10,20170501,12
13,8,9,10,20160901,8
8,8,9,10,20160301,14
20,8,9,10,20150201,10
15,8,9,10,20170801,7
3,8,9,10,20160501,12
8,8,9,10,20170501,7
6,8,9,10,20160801,9
5,8,9,10,20150801,10
8,8,9,10,20160301,13
5,8,9,10,20150201,5
14,8,9,10,20150501,9
20,8,9,10,20170401,5
16,8,9,10,20160301,7
19,8,9,10,20150601,14
2,8,9,10,20160301,9
3,8,9,10,20160401,7
11,8,9,10,20170701,13
19,8,9,10,20150101,5
2,8,9,10,20150201,6
19,8,9,10,20170501,10
20,8,9,10,20160601,5
11,8,9,10,20170901,9
6,8,9,10,20150701,12
2,8,9,10,20160101,14
12,8,9,10,20170701,15
8,8,9,10,20150301,11
5,8,9,10,20170601,10
16,8,9,10,20160801,15
18,8,9,10,20160301,6
16,8,9,10,20160301,10
9,8,9,10,20160101,13
18,8,9,10,20150401,15
7,8,9,10,20150101,5
12,8,9,10,20150701,9
10,8,9,10,20150501,6
9,8,9,10,20170601,7
16,8,9,10,20170201,8
3,8,9,10,20160501,15
6,8,9,10,20170701,9
4,8,9,10,20170401,12
11,8,9,10,20170201,11
11,8,9,10,20150401,7
2,8,9,10,20160201,15
1,8,9,10,20160401,6
2,8,9,10,20170801,12
16,8,9,10,20160601,13
4,8,9,10,20150601,9
7,8,9,10,20170501,12
16,8,9,10,20170501,6
8,8,9,10,20170201,8
2,8,9,10,20160301,6
11,8,9,10,20160101,9
10,8,9,10,20170201,7
13,8,9,10,20170101,15
11,8,9,10,20170901,5
19,8,9,10,20150701,6
5,8,9,10,20170101,15
13,8,9,10,20150301,13
2,8,9,10,20170501,10
5,8,9,10,20150401,6
12,8,9,10,20150101,9
7,8,9,10,20170601,5
10,8,9,10,20150701,8
7,8,9,10,20160501,6
2,8,9,10,20160701,14
1,8,9,10,20160301,15
15,8,9,10,20160201,7
17,8,9,10,20170801,12
5,8,9,10,20170201,11
10,8,9,10,20160301,7
17,8,9,10,20170601,15
14,8,9,10,20160401,5
14,8,9,10,20170701,13
19,8,9,10,20160801,6
19,8,9,10,20150901,8
19,8,9,10,20150701,12
15,8,9,10,20150301,8
11,8,9,10,20150401,7
4,8,9,10,20160801,14
20,8,9,10,20150701,13
13,8,9,10,20170601,7
19,8,9,10,20170201,9
11,8,9,10,20160201,10
20,8,9,10,20150701,11
