0,Citroen,C4,version random,pickup,provincia,16-9-2017
1,Renault,Focus,version random,pickup,provincia,13-2-2016
2,Fiat,Uno,version random,moto,provincia,19-10-2017
3,Citroen,Uno,version random,camion,provincia,16-3-2018
4,Volkswagen,Focus,version random,moto,provincia,24-4-2017
5,Chevrolet,Cruze,version random,pickup,provincia,20-2-2018
6,Chevrolet,Corolla,version random,auto,provincia,19-9-2016
7,Toyota,Vento,version random,moto,provincia,20-3-2017
8,Fiat,Cruze,version random,pickup,provincia,16-7-2018
9,Volkswagen,Vento,version random,auto,provincia,7-1-2017
10,Chevrolet,Vento,version random,moto,provincia,25-1-2018
11,Renault,Vento,version random,pickup,provincia,10-6-2018
12,Toyota,Vento,version random,camion,provincia,10-9-2017
13,Ford,Focus,version random,camion,provincia,21-12-2016
14,Citroen,C4,version random,auto,provincia,3-4-2016
15,Volkswagen,Vento,version random,pickup,provincia,10-11-2017
16,Renault,Cruze,version random,camion,provincia,17-6-2016
17,Toyota,Cruze,version random,pickup,provincia,11-5-2017
18,Renault,Focus,version random,moto,provincia,21-11-2017
19,Toyota,Vento,version random,camion,provincia,24-1-2018
20,Fiat,C4,version random,auto,provincia,28-11-2018
21,Chevrolet,Focus,version random,pickup,provincia,24-3-2016
22,Volkswagen,C4,version random,camion,provincia,20-12-2016
23,Volkswagen,Uno,version random,pickup,provincia,25-7-2018
24,Volkswagen,Focus,version random,camion,provincia,11-9-2017
25,Renault,Corolla,version random,pickup,provincia,21-11-2016
26,Ford,Fluence,version random,camion,provincia,2-11-2016
27,Chevrolet,Fluence,version random,auto,provincia,25-6-2016
28,Toyota,Vento,version random,camion,provincia,15-9-2018
29,Citroen,Fluence,version random,auto,provincia,4-8-2016
30,Ford,Fluence,version random,auto,provincia,11-6-2018
31,Renault,Corolla,version random,camion,provincia,4-5-2018
32,Ford,Cruze,version random,auto,provincia,25-8-2017
33,Fiat,Fluence,version random,moto,provincia,26-4-2017
34,Ford,C4,version random,camion,provincia,5-1-2016
35,Toyota,Focus,version random,pickup,provincia,19-2-2016
36,Ford,Corolla,version random,camion,provincia,5-10-2018
37,Chevrolet,Uno,version random,auto,provincia,6-5-2017
38,Ford,Uno,version random,moto,provincia,9-8-2016
39,Ford,Focus,version random,auto,provincia,24-7-2017
40,Chevrolet,Cruze,version random,pickup,provincia,15-11-2018
41,Chevrolet,Vento,version random,camion,provincia,1-3-2018
42,Citroen,Corolla,version random,auto,provincia,26-7-2017
43,Citroen,Cruze,version random,camion,provincia,4-10-2018
44,Toyota,Fluence,version random,camion,provincia,17-3-2016
45,Volkswagen,Focus,version random,camion,provincia,27-8-2016
46,Toyota,Cruze,version random,camion,provincia,16-8-2016
47,Renault,Focus,version random,pickup,provincia,20-11-2016
48,Ford,Cruze,version random,auto,provincia,12-5-2017
49,Chevrolet,Corolla,version random,pickup,provincia,16-12-2018
50,Fiat,Cruze,version random,pickup,provincia,18-8-2017
51,Volkswagen,Corolla,version random,moto,provincia,13-7-2016
52,Ford,C4,version random,camion,provincia,3-4-2017
