book_id,book_name,avg_rating
0,Las cronicas de Belu 0,2
1,Las cronicas de Belu 1,5
2,Las cronicas de Belu 2,1
3,Las cronicas de Belu 3,7
4,Las cronicas de Belu 4,4
5,Las cronicas de Belu 5,6
6,Las cronicas de Belu 6,1
7,Las cronicas de Belu 7,6
8,Las cronicas de Belu 8,7
9,Las cronicas de Belu 9,6
10,Las cronicas de Belu 10,10
11,Las cronicas de Belu 11,4
12,Las cronicas de Belu 12,8
13,Las cronicas de Belu 13,6
14,Las cronicas de Belu 14,7
15,Las cronicas de Belu 15,1
16,Las cronicas de Belu 16,7
17,Las cronicas de Belu 17,2
18,Las cronicas de Belu 18,3
19,Las cronicas de Belu 19,6
20,Las cronicas de Belu 20,3
21,Las cronicas de Belu 21,6
22,Las cronicas de Belu 22,6
23,Las cronicas de Belu 23,9
24,Las cronicas de Belu 24,5
25,Las cronicas de Belu 25,8
26,Las cronicas de Belu 26,3
27,Las cronicas de Belu 27,2
28,Las cronicas de Belu 28,1
29,Las cronicas de Belu 29,10
30,Las cronicas de Belu 30,3
31,Las cronicas de Belu 31,10
32,Las cronicas de Belu 32,6
33,Las cronicas de Belu 33,5
34,Las cronicas de Belu 34,9
35,Las cronicas de Belu 35,6
36,Las cronicas de Belu 36,10
37,Las cronicas de Belu 37,7
38,Las cronicas de Belu 38,4
39,Las cronicas de Belu 39,6
40,Las cronicas de Belu 40,4
41,Las cronicas de Belu 41,1
42,Las cronicas de Belu 42,9
43,Las cronicas de Belu 43,8
44,Las cronicas de Belu 44,3
45,Las cronicas de Belu 45,6
46,Las cronicas de Belu 46,4
47,Las cronicas de Belu 47,8
48,Las cronicas de Belu 48,10
49,Las cronicas de Belu 49,6
50,Las cronicas de Belu 50,7
51,Las cronicas de Belu 51,6
52,Las cronicas de Belu 52,3
53,Las cronicas de Belu 53,10
54,Las cronicas de Belu 54,9
55,Las cronicas de Belu 55,3
56,Las cronicas de Belu 56,10
57,Las cronicas de Belu 57,10
58,Las cronicas de Belu 58,1
59,Las cronicas de Belu 59,7
60,Las cronicas de Belu 60,8
61,Las cronicas de Belu 61,8
62,Las cronicas de Belu 62,8
63,Las cronicas de Belu 63,5
64,Las cronicas de Belu 64,3
65,Las cronicas de Belu 65,2
66,Las cronicas de Belu 66,8
67,Las cronicas de Belu 67,6
68,Las cronicas de Belu 68,4
69,Las cronicas de Belu 69,1
70,Las cronicas de Belu 70,5
71,Las cronicas de Belu 71,9
72,Las cronicas de Belu 72,1
73,Las cronicas de Belu 73,5
74,Las cronicas de Belu 74,8
75,Las cronicas de Belu 75,5
76,Las cronicas de Belu 76,9
77,Las cronicas de Belu 77,7
78,Las cronicas de Belu 78,4
79,Las cronicas de Belu 79,6
80,Las cronicas de Belu 80,6
81,Las cronicas de Belu 81,4
82,Las cronicas de Belu 82,8
83,Las cronicas de Belu 83,5
84,Las cronicas de Belu 84,2
85,Las cronicas de Belu 85,1
86,Las cronicas de Belu 86,1
87,Las cronicas de Belu 87,4
88,Las cronicas de Belu 88,9
89,Las cronicas de Belu 89,2
90,Las cronicas de Belu 90,6
91,Las cronicas de Belu 91,10
92,Las cronicas de Belu 92,3
93,Las cronicas de Belu 93,9
94,Las cronicas de Belu 94,2
95,Las cronicas de Belu 95,7
96,Las cronicas de Belu 96,3
97,Las cronicas de Belu 97,8
98,Las cronicas de Belu 98,6
99,Las cronicas de Belu 99,4
100,Las cronicas de Belu 100,6
101,Las cronicas de Belu 101,6
102,Las cronicas de Belu 102,5
103,Las cronicas de Belu 103,3
104,Las cronicas de Belu 104,6
105,Las cronicas de Belu 105,2
106,Las cronicas de Belu 106,6
107,Las cronicas de Belu 107,5
108,Las cronicas de Belu 108,5
109,Las cronicas de Belu 109,1
110,Las cronicas de Belu 110,3
111,Las cronicas de Belu 111,4
112,Las cronicas de Belu 112,3
113,Las cronicas de Belu 113,6
114,Las cronicas de Belu 114,8
115,Las cronicas de Belu 115,7
116,Las cronicas de Belu 116,7
117,Las cronicas de Belu 117,2
118,Las cronicas de Belu 118,9
119,Las cronicas de Belu 119,7
120,Las cronicas de Belu 120,1
121,Las cronicas de Belu 121,9
122,Las cronicas de Belu 122,5
123,Las cronicas de Belu 123,8
124,Las cronicas de Belu 124,1
125,Las cronicas de Belu 125,9
126,Las cronicas de Belu 126,2
127,Las cronicas de Belu 127,9
128,Las cronicas de Belu 128,2
129,Las cronicas de Belu 129,8
130,Las cronicas de Belu 130,6
131,Las cronicas de Belu 131,2
132,Las cronicas de Belu 132,9
133,Las cronicas de Belu 133,8
134,Las cronicas de Belu 134,5
135,Las cronicas de Belu 135,10
136,Las cronicas de Belu 136,7
137,Las cronicas de Belu 137,2
138,Las cronicas de Belu 138,6
139,Las cronicas de Belu 139,1
140,Las cronicas de Belu 140,2
141,Las cronicas de Belu 141,9
142,Las cronicas de Belu 142,5
143,Las cronicas de Belu 143,8
144,Las cronicas de Belu 144,5
145,Las cronicas de Belu 145,3
146,Las cronicas de Belu 146,9
147,Las cronicas de Belu 147,10
148,Las cronicas de Belu 148,6
149,Las cronicas de Belu 149,5
